Date,Open,High,Low,Close,Adj Close,Volume
2015-10-05,38300.000000,39375.000000,38300.000000,39000.000000,35473.152344,1587900
2015-10-06,39500.000000,39550.000000,38475.000000,39450.000000,35882.460938,1360700
2015-10-07,39450.000000,39650.000000,38525.000000,39000.000000,35473.152344,2393400
2015-10-08,39000.000000,39625.000000,39000.000000,39500.000000,35927.929688,963000
2015-10-09,39950.000000,40000.000000,38600.000000,39050.000000,35518.621094,1585800
2015-10-12,39050.000000,39500.000000,39050.000000,39400.000000,35836.972656,1594200
2015-10-13,39050.000000,39225.000000,38500.000000,38600.000000,35109.320313,1793300
2015-10-15,38525.000000,39325.000000,38000.000000,38000.000000,34563.578125,1307000
2015-10-16,38300.000000,38500.000000,37125.000000,37575.000000,34177.011719,2440400
2015-10-19,37700.000000,38500.000000,37700.000000,38325.000000,34859.191406,1317800
2015-10-20,38350.000000,38900.000000,38325.000000,38725.000000,35223.015625,1848500
2015-10-21,38700.000000,38925.000000,38350.000000,38700.000000,35200.277344,730100
2015-10-22,38600.000000,38700.000000,38000.000000,38250.000000,34790.976563,974800
2015-10-23,39200.000000,39200.000000,38400.000000,38425.000000,34950.148438,1446100
2015-10-26,38425.000000,38925.000000,38425.000000,38650.000000,35154.800781,1369600
2015-10-27,38650.000000,38800.000000,38275.000000,38650.000000,35154.800781,1632700
2015-10-28,38500.000000,38600.000000,38200.000000,38200.000000,34745.492188,1229400
2015-10-29,38350.000000,38350.000000,37150.000000,37200.000000,33835.929688,2306400
2015-10-30,37250.000000,37500.000000,37000.000000,37000.000000,33654.011719,2455900
2015-11-02,37000.000000,37150.000000,36500.000000,36900.000000,33563.058594,1200400
2015-11-03,37200.000000,37300.000000,36800.000000,36800.000000,33472.097656,1168500
2015-11-04,37100.000000,37200.000000,36825.000000,37025.000000,33676.753906,1340700
2015-11-05,37025.000000,37100.000000,36675.000000,36775.000000,33449.355469,1065400
2015-11-06,36700.000000,37150.000000,36700.000000,37000.000000,33654.011719,768400
2015-11-09,36950.000000,36950.000000,36550.000000,36700.000000,33381.144531,879800
2015-11-10,36525.000000,36700.000000,35400.000000,35400.000000,32198.703125,1900800
2015-11-11,35500.000000,36050.000000,35100.000000,35175.000000,31994.052734,2408000
2015-11-12,35200.000000,35700.000000,34600.000000,34600.000000,31471.048828,957700
2015-11-13,34600.000000,36700.000000,34500.000000,36300.000000,33017.312500,1969300
